season_year,n_events,cao_days,mean_daily_coverage
1940,3.0,10,0.005856741424057095
1941,3.0,4,0.0008736784402236003
1942,5.0,15,0.005760465606783543
1943,5.0,14,0.0021190870777608077
1944,2.0,2,4.732099254691998e-05
1945,5.0,7,0.0013185768176650942
1946,3.0,3,0.0007368234183946892
1947,3.0,8,0.001436381886884199
1948,6.0,15,0.008955990066790164
1949,1.0,1,2.0324595277905094e-05
1950,3.0,7,0.00191578624415484
1951,4.0,10,0.012195719033087417
1952,2.0,2,0.00016557351337834943
1953,0.0,0,0.0
1954,2.0,3,3.775433448893019e-05
1955,3.0,9,0.002609918069152375
1956,3.0,6,0.0029413652568948305
1957,2.0,7,0.0023703996338477677
1958,2.0,9,0.0062737752324094655
1959,7.0,14,0.00418763702010823
1960,1.0,2,2.194163597144913e-05
1961,3.0,11,0.009016954672086129
1962,6.0,15,0.013074993431282964
1963,4.0,24,0.019745733196663545
1964,4.0,10,0.0041880058421697895
1965,4.0,12,0.013710606978198214
1966,5.0,12,0.014124616541036214
1967,5.0,8,0.007301062835886604
1968,3.0,23,0.014309279363712391
1969,3.0,3,0.0003597034388464127
1970,5.0,12,0.019053277773772193
1971,5.0,11,0.015845925189504464
1972,4.0,14,0.011239385595079435
1973,3.0,8,0.003395617133205777
1974,3.0,11,0.004007254671244958
1975,0.0,0,0.0
1976,3.0,7,0.0030045133162830808
1977,7.0,24,0.012954142342214117
1978,6.0,10,0.0026195329658776
1979,4.0,26,0.025720554049233978
1980,3.0,5,9.89885635923325e-05
1981,7.0,14,0.007284145221930395
1982,7.0,18,0.012589760487306359
1983,3.0,3,6.45985450970784e-05
1984,6.0,16,0.022094157889512824
1985,4.0,8,0.007751958220578953
1986,3.0,7,0.0018587588151082071
1987,2.0,6,0.003423660939705453
1988,4.0,8,0.004233882160991889
1989,5.0,10,0.00396816088978215
1990,1.0,13,0.010737858759035301
1991,1.0,2,0.00025194731495798757
1992,3.0,3,0.000385519293063581
1993,4.0,8,0.0004673831737640438
1994,7.0,26,0.032338913317654976
1995,2.0,3,0.0010108812819772956
1996,3.0,15,0.03220263472336802
1997,3.0,6,0.0018327690309135145
1998,0.0,0,0.0
1999,2.0,5,0.0026683678813245585
2000,4.0,4,0.000568656385360217
2001,1.0,1,7.79720333277253e-06
2002,0.0,0,0.0
2003,3.0,13,0.010934488582669318
2004,4.0,14,0.010167361230252012
2005,5.0,11,0.006356284323802927
2006,0.0,0,0.0
2007,2.0,8,0.006413059672491547
2008,1.0,1,0.00047466065718460444
2009,3.0,6,0.009035016961156281
2010,2.0,4,0.0008347699513412432
2011,2.0,4,0.0007201797608220399
2012,1.0,1,7.673487559373177e-06
2013,2.0,8,0.002581143603382114
2014,7.0,16,0.013992096409250525
2015,5.0,12,0.0024968014060109556
2016,2.0,2,0.0007366509727136563
2017,1.0,1,8.500304699036411e-06
2018,3.0,11,0.005880746606526777
2019,2.0,9,0.007190565482131668
2020,0.0,0,0.0
2021,1.0,9,0.006910829291930752
2022,4.0,6,0.0001546766177275152
2023,0.0,0,0.0
2024,1.0,2,0.0012102118660449119
2025,2.0,4,0.0018454829449787978
