region,metric,MK_tau,MK_p,Sen_slope_per_decade,OLS_slope_per_decade,OLS_r2
downwind,CAO_day_fraction,-0.07058823529411765,0.3358987609065811,-3.584024086991635e-05,4.322222102115585e-05,0.00027594859070466057
downwind,CAO_days,0.0347469220246238,0.6357206467456205,0.0,0.24652106231426008,0.035006458187131675
downwind,CAO_events,0.0,1.0,0.0,0.0,0.0
north,CAO_day_fraction,-0.036662106703146374,0.6172163340934369,-1.1760399016450527e-05,-1.95386961568948e-06,3.7873337963986026e-07
north,CAO_days,0.0347469220246238,0.6357206467456205,0.0,0.24652106231426008,0.035006458187131675
north,CAO_events,0.0,1.0,0.0,0.0,0.0
south,CAO_day_fraction,-0.11080711354309165,0.13089352085210604,-0.0001228167745242179,-0.00031459007445988835,0.012790278704124369
south,CAO_days,0.0347469220246238,0.6357206467456205,0.0,0.24652106231426008,0.035006458187131675
south,CAO_events,0.0,1.0,0.0,0.0,0.0
upwind,CAO_day_fraction,-0.08891928864569083,0.22543581847191985,-5.550722238348283e-05,-0.00035659673832421886,0.009620976493706733
upwind,CAO_days,0.0347469220246238,0.6357206467456205,0.0,0.24652106231426008,0.035006458187131675
upwind,CAO_events,0.0,1.0,0.0,0.0,0.0
whole,CAO_day_fraction,-0.07551299589603283,0.30327410341007344,-7.79720333277253e-05,-0.00015915527691909238,0.003122099917146218
whole,CAO_days,-0.13761969904240767,0.06063981053913725,-0.4477611940298507,-0.46832397754611066,0.03472587771310892
whole,CAO_events,-0.19015047879616964,0.009535235278476106,-0.17543859649122806,-0.19963205811594886,0.07032724835006177
